Name,Position,Team,Penalty Count,Yards,Declined,Offsetting,Total Flags,Pre-Snap,Count per Game,Yards per Game,Percent of Team,Penalty Types,Year
J.Simmons,DL,Tennessee,6,50,0,0,6,2,0.35,2.94,4.55,"Unnecessary Roughness (1), Roughing the Passer (1), Illegal Use of Hands (1), Defensive Offside (1), Encroachment (1), Defensive Holding (1)",2024
W.Teller,OL,Cleveland,5,39,1,0,6,2,0.29,2.29,5.04,"Offensive Holding (4), False Start (2)",2024
A.Jackson,OL,Miami,4,25,2,0,6,5,0.24,1.47,5.22,"False Start (3), Illegal Formation (2), Offensive Holding (1)",2024
N.Madubuike,DL,Baltimore,6,65,0,0,6,1,0.32,3.42,4.26,"Roughing the Passer (4), Encroachment (1), Face Mask (1)",2024
D.Slay,DB,Philadelphia,3,20,3,0,6,0,0.14,0.95,4.76,"Defensive Pass Interference (3), Defensive Holding (3)",2024
R.Neuzil,OL,Atlanta,6,50,0,0,6,3,0.35,2.94,6.06,"False Start (3), Offensive Holding (2), Face Mask (1)",2024
R.Slater,OL,LA Chargers,3,25,3,0,6,1,0.17,1.39,6.12,"Offensive Holding (4), Illegal Formation (1), Ineligible Downfield Pass (1)",2024
T.McBride,TE,Arizona,6,55,0,0,6,1,0.35,3.24,6.52,"Offensive Holding (3), False Start (1), Offensive Pass Interference (1), Illegal Block Above the Waist (1)",2024
D.Faalele,OL,Baltimore,5,45,1,0,6,1,0.26,2.37,4.26,"Offensive Holding (4), False Start (1), Ineligible Downfield Pass (1)",2024
E.Pocic,OL,Cleveland,6,39,0,0,6,2,0.35,2.29,5.04,"False Start (2), Offensive Holding (2), Illegal Touch Pass (1), Ineligible Downfield Pass (1)",2024
S.Rhyan,OL,Green Bay,6,40,0,0,6,4,0.33,2.22,5,"False Start (4), Offensive Holding (2)",2024
Ky.Green,OL,Houston,5,30,1,0,6,2,0.26,1.58,4.38,"Ineligible Downfield Pass (3), False Start (2), Offensive Holding (1)",2024
A.Taylor,DB,New Orleans,6,67,0,0,6,0,0.35,3.94,5.41,"Defensive Pass Interference (3), Illegal Use of Hands (1), Unsportsmanlike Conduct (1), Defensive Holding (1)",2024
K.Thibodeaux,LB,N.Y. Giants,5,55,0,1,6,3,0.29,3.24,5.36,"Defensive Offside (3), Roughing the Passer (2), Face Mask (1)",2024
C.Jurgens,OL,Philadelphia,4,25,2,0,6,1,0.19,1.19,4.76,"Ineligible Downfield Pass (4), False Start (1), Offensive Holding (1)",2024
J.Ramsey,DB,Miami,5,74,0,1,6,0,0.29,4.35,5.22,"Defensive Pass Interference (2), Defensive Holding (2), Offensive Holding (1), Roughing the Passer (1)",2024
A.Lazard,WR,N.Y. Jets,5,45,1,0,6,3,0.29,2.65,4.38,"Offensive Holding (2), Illegal Motion (2), False Start (1), Unsportsmanlike Conduct (1)",2024
A.Key,LB,Tennessee,6,42,0,0,6,2,0.35,2.47,4.55,"Roughing the Passer (2), Illegal Use of Hands (1), Defensive Offside (1), Neutral Zone Infraction (1), Face Mask (1)",2024
M.McGlinchey,OL,Denver,5,35,0,1,6,3,0.28,1.94,5.41,"False Start (3), Offensive Holding (3)",2024
B.Powers,OL,Denver,5,35,1,0,6,2,0.28,1.94,5.41,"False Start (2), Ineligible Downfield Pass (2), Offensive Holding (1), Illegal Block Above the Waist (1)",2024
F.Moreau,TE,New Orleans,6,60,0,0,6,1,0.35,3.53,5.41,"Offensive Holding (4), False Start (1), Unsportsmanlike Conduct (1)",2024
J.Carter,DL,Philadelphia,5,36,0,1,6,2,0.24,1.71,4.76,"Unnecessary Roughness (4), Defensive Offside (2)",2024
P.Johnson,OL,Arizona,6,60,0,0,6,0,0.35,3.53,6.52,Offensive Holding (6),2024
R.Moss,DB,Denver,5,88,0,1,6,0,0.28,4.89,5.41,"Defensive Pass Interference (4), Defensive Holding (2)",2024
D.Banks,DB,N.Y. Giants,5,111,1,0,6,1,0.29,6.53,5.36,"Defensive Pass Interference (4), Illegal Contact (1), Defensive Offside (1)",2024
T.Stevenson,DB,Chicago,4,72,2,0,6,1,0.24,4.24,5.45,"Defensive Pass Interference (3), Unnecessary Roughness (1), Illegal Use of Hands (1), Defensive Offside (1)",2024
B.Young,LB,LA Rams,5,53,1,0,6,1,0.26,2.79,5.77,"Roughing the Passer (2), Defensive Pass Interference (1), Illegal Use of Hands (1), Defensive Offside (1), Face Mask (1)",2024
D.Witherspoon,DB,Seattle,6,63,0,0,6,0,0.35,3.71,5,"Illegal Contact (2), Defensive Pass Interference (2), Unnecessary Roughness (1), Unsportsmanlike Conduct (1)",2024
T.Smith,OL,N.Y. Jets,3,20,3,0,6,3,0.18,1.18,4.38,"Offensive Holding (3), False Start (2), Illegal Formation (1)",2024
Z.Ertz,TE,Washington,6,36,0,0,6,5,0.3,1.8,4.65,"False Start (4), Illegal Formation (1), Illegal Blindside Block (1)",2024
S.Shepard,WR,Tampa Bay,6,47,0,0,6,3,0.33,2.61,5.22,"False Start (2), Unnecessary Roughness (1), Offensive Pass Interference (1), Unsportsmanlike Conduct (1), Illegal Motion (1)",2024
J.Smith,TE,Miami,3,25,3,0,6,4,0.18,1.47,5.22,"Offensive Offside (2), False Start (1), Unnecessary Roughness (1), Offensive Pass Interference (1), Illegal Shift (1)",2024
S.Neal,DB,Miami,6,54,0,0,6,0,0.35,3.18,5.22,"Offensive Holding (2), Unsportsmanlike Conduct (2), Defensive Holding (1), Player Out of Bounds on Kick (1)",2024
M.Pryor,OL,Chicago,4,25,1,1,6,3,0.24,1.47,5.45,"False Start (3), Offensive Holding (1), Ineligible Downfield Pass (1), Disqualification (1)",2024
